Type,Value,Quantity,Designator,Package,Digikey Number
MCU,Teensy 4.0,1,U1,,1568-15583-ND
Sensor,BMP390,1,U2,,828-BMP390CT-ND
Sensor,BMI088,1,U3,,828-1082-1-ND 
Converter,RT8299A,2,"U8,U4",,1028-1295-1-ND
Flash,Flash_W25Q128JVSQ,1,U5,,W25Q128JVSIQ-ND
PSRam,PSRAM - APS6404L_3SQR,1,U6,,1528-4677-ND
1 Channel shifter,SN74AHCT1G125DCKR,1,U7,,296-4709-1-ND
4 Channel Shifter,SN74HCT125DR,1,U9,,296-1206-1-ND
Inductor,6.8uH,2,"L2,L1",,445-MLZ1608M6R8WT000CT-ND
Capacitor,0.1uF,8,"C19,C9,C13,C4,C14,C3,C15,C12",,311-1088-1-ND
,1uF,6,"C17,C16,C18,C6,C7,C8",,1276-1946-1-ND
,22uF,4,"C21,C20,C10,C11",,490-10476-1-ND
,100uF,1,C5,,493-6341-1-ND
Resistor,100K,2,"R15,R11",,RG16P100KBCT-ND
,5.1k,2,"R18,R14",,311-5.10KHRCT-ND
,18k,2,"R16,R12",,A129691CT-ND
,27k,2,"R17,R13",,RMCF0603JT27K0CT-ND
,50R,1,R10,,541-3318-1-ND
,68R,2,"R4,R8",,311-68.0HRCT-ND
LED,LED,2,"D5,D6",,846-SML-D12P8WT86CT-ND
RGD LED,SK6812MINI,3,"D1,D2,D3",,1830-1207-1-ND
Button,TL3305BF160QG,1,On/Off1,,141-TL3305BF100QGCT-ND
Terminal,PWR_IN,1,J1,,5441537-ND
Terminal,COMPUTER_ARM,1,J2,,5441537-ND
Buzzer,Buzzer,1,BZ1,,445-2525-1-ND
Servo,Motor_Servo,3,"M2,M3,M1",,
